HRR,Total_Hospital_Beds,Total_ICU_Beds,Available_Hospital_Beds,Potentially_Available_Hosp_Beds,Available_ICU_Beds,Potentially_Available_ICU_Beds,Adult_Population,Population_65_Plus,Projected_Infected_Individuals,Projected_Hospitalized_Individuals,Projected_ICU_Individuals,Hosp_Beds_Needed_6mo,Pct_Avail_Beds_Needed_6mo,Pct_Pot_Avail_Beds_Needed_6mo,Pct_Total_Beds_Needed_6mo,Hosp_Beds_Needed_12mo,Pct_Avail_Beds_Needed_12mo,Pct_Pot_Avail_Beds_Needed_12mo,Pct_Total_Beds_Needed_12mo,Hosp_Beds_Needed_18mo,Pct_Avail_Beds_Needed_18mo,Pct_Pot_Avail_Beds_Needed_18mo,Pct_Total_Beds_Needed_18mo,ICU_Beds_Needed_6mo,Pct_Avail_ICU_Beds_Needed_6mo,Pct_Pot_Avail_ICU_Beds_Needed_6mo,Pct_Total_ICU_Beds_Needed_6mo,ICU_Beds_Needed_12mo,Pct_Avail_ICU_Beds_Needed_12mo,Pct_Pot_Avail_ICU_Beds_Needed_12mo,Pct_Total_ICU_Beds_Needed_12mo,ICU_Beds_Needed_18mo,Pct_Avail_ICU_Beds_Needed_18mo,Pct_Pot_Avail_ICU_Beds_Needed_18mo,Pct_Total_ICU_Beds_Needed_18mo
"Houma, LA",707,65,399,553,32,49,206176,37957,123706,25668,5493,1711,429%,309%,242%,856,215%,155%,121%,558,140%,101%,79%,366,1144%,747%,563%,183,572%,373%,282%,119,372%,243%,183%
"Houston, TX",14062,1790,5130,9596,652,1221,5278689,769270,3167213,645619,135164,43041,839%,449%,306%,21521,420%,224%,153%,14035,274%,146%,100%,9011,1382%,738%,503%,4505,691%,369%,252%,2938,451%,241%,164%
"Hudson, FL",1188,160,329,758,45,102,351228,112737,210737,46466,10660,3098,942%,409%,261%,1549,471%,204%,130%,1010,307%,133%,85%,711,1580%,697%,444%,355,789%,348%,222%,232,516%,227%,145%
"Huntington, WV",1561,162,382,971,64,113,276340,63341,165804,35113,7700,2341,613%,241%,150%,1170,306%,120%,75%,763,200%,79%,49%,513,802%,454%,317%,257,402%,227%,159%,167,261%,148%,103%
"Huntsville, AL",1804,248,569,1187,59,154,506155,100153,303693,63410,13675,4227,743%,356%,234%,2114,372%,178%,117%,1378,242%,116%,76%,912,1546%,592%,368%,456,773%,296%,184%,297,503%,193%,120%
"Idaho Falls, ID",492,44,269,381,24,34,169856,28437,101914,20985,4449,1399,520%,367%,284%,700,260%,184%,142%,456,170%,120%,93%,297,1238%,874%,675%,148,617%,435%,336%,97,404%,285%,220%
"Indianapolis, IN",7441,1081,3350,5396,403,742,2249394,412838,1349636,279963,59899,18664,557%,346%,251%,9332,279%,173%,125%,6086,182%,113%,82%,3993,991%,538%,369%,1997,496%,269%,185%,1302,323%,175%,120%
"Iowa City, IA",1414,147,538,976,64,106,279218,53012,167531,34853,7483,2324,432%,238%,164%,1162,216%,119%,82%,758,141%,78%,54%,499,780%,471%,339%,249,389%,235%,169%,163,255%,154%,111%
"Jackson, MS",4425,406,1964,3194,149,277,792834,152349,475700,99067,21298,6604,336%,207%,149%,3302,168%,103%,75%,2154,110%,67%,49%,1420,953%,513%,350%,710,477%,256%,175%,463,311%,167%,114%
"Jackson, TN",1063,115,423,743,57,86,256100,58414,153660,32525,7129,2168,513%,292%,204%,1084,256%,146%,102%,707,167%,95%,67%,475,833%,552%,413%,238,418%,277%,207%,155,272%,180%,135%
"Jacksonville, FL",4947,618,1625,3286,183,400,1340118,254567,804071,167284,35919,11152,686%,339%,225%,5576,343%,170%,113%,3637,224%,111%,74%,2395,1309%,599%,388%,1197,654%,299%,194%,781,427%,195%,126%
"Johnson City, TN",956,94,342,649,39,66,235522,51395,141313,29779,6493,1985,580%,306%,208%,993,290%,153%,104%,647,189%,100%,68%,433,1110%,656%,461%,216,554%,327%,230%,141,362%,214%,150%
"Johnstown, PA",741,44,426,584,25,35,170816,45254,102490,22053,4925,1470,345%,252%,198%,735,173%,126%,99%,479,112%,82%,65%,328,1312%,937%,745%,164,656%,469%,373%,107,428%,306%,243%
"Joliet, IL",1376,149,662,1019,53,101,516812,90546,310087,64078,13646,4272,645%,419%,310%,2136,323%,210%,155%,1393,210%,137%,101%,910,1717%,901%,611%,455,858%,450%,305%,297,560%,294%,199%
"Jonesboro, AR",975,76,403,689,23,50,185969,38518,111581,23396,5071,1560,387%,226%,160%,780,194%,113%,80%,509,126%,74%,52%,338,1470%,676%,445%,169,735%,338%,222%,110,478%,220%,145%
"Joplin, MO",1045,124,507,776,71,97,282798,63826,169679,35877,7854,2392,472%,308%,229%,1196,236%,154%,114%,780,154%,101%,75%,524,738%,540%,423%,262,369%,270%,211%,171,241%,176%,138%
"Kalamazoo, MI",1462,139,681,1072,21,80,520196,104986,312118,65287,14110,4352,639%,406%,298%,2176,320%,203%,149%,1419,208%,132%,97%,941,4481%,1176%,677%,470,2238%,588%,338%,307,1462%,384%,221%
"Kansas City, MO",6736,795,2646,4691,286,541,1950902,362250,1170541,243051,52064,16203,612%,345%,241%,8102,306%,173%,120%,5284,200%,113%,78%,3471,1214%,642%,437%,1735,607%,321%,218%,1132,396%,209%,142%
"Kettering, OH",923,138,412,667,42,90,334281,73199,200569,42280,9222,2819,684%,423%,305%,1409,342%,211%,153%,919,223%,138%,100%,615,1464%,683%,446%,307,731%,341%,222%,200,476%,222%,145%
"Kingsport, TN",1485,185,668,1077,75,130,375852,93948,225511,48202,10685,3213,481%,298%,216%,1607,241%,149%,108%,1048,157%,97%,71%,712,949%,548%,385%,356,475%,274%,192%,232,309%,178%,125%
"Knoxville, TN",3193,299,1198,2195,74,186,1108058,250729,664835,140610,30789,9374,782%,427%,294%,4687,391%,214%,147%,3057,255%,139%,96%,2053,2774%,1104%,687%,1026,1386%,552%,343%,669,904%,360%,224%
"La Crosse, WI",650,78,286,468,44,61,279590,60747,167754,35336,7701,2356,824%,503%,362%,1178,412%,252%,181%,768,269%,164%,118%,513,1166%,841%,658%,257,584%,421%,329%,167,380%,274%,214%
"Lafayette, IN",457,34,193,325,14,24,199535,31824,119721,24561,5184,1637,848%,504%,358%,819,424%,252%,179%,534,277%,164%,117%,346,2471%,1442%,1018%,173,1236%,721%,509%,113,807%,471%,332%
"Lafayette, LA",1716,188,700,1208,87,137,477559,85840,286535,59335,12668,3956,565%,327%,231%,1978,283%,164%,115%,1290,184%,107%,75%,845,971%,617%,449%,422,485%,308%,224%,275,316%,201%,146%
"Lake Charles, LA",830,81,424,627,44,62,210604,37934,126362,26171,5589,1745,412%,278%,210%,872,206%,139%,105%,569,134%,91%,69%,373,848%,602%,460%,186,423%,300%,230%,122,277%,197%,151%
"Lakeland, FL",1046,103,382,714,57,80,317384,73118,190430,40349,8854,2690,704%,377%,257%,1345,352%,188%,129%,877,230%,123%,84%,590,1035%,738%,573%,295,518%,369%,286%,192,337%,240%,186%
"Lancaster, PA",1081,98,468,774,40,69,528715,112509,317229,66687,14498,4446,950%,574%,411%,2223,475%,287%,206%,1450,310%,187%,134%,967,2418%,1401%,987%,483,1208%,700%,493%,315,788%,457%,321%
"Lansing, MI",1444,240,632,1038,115,177,561636,102892,336982,69891,14951,4659,737%,449%,323%,2330,369%,224%,161%,1519,240%,146%,105%,997,867%,563%,415%,498,433%,281%,208%,325,283%,184%,135%
"Las Vegas, NV",4165,761,1088,2626,162,462,1704994,321669,1022996,212704,45639,14180,1303%,540%,340%,7090,652%,270%,170%,4624,425%,176%,111%,3043,1878%,659%,400%,1521,939%,329%,200%,992,612%,215%,130%
"Lawton, OK",733,76,346,539,32,54,152745,28422,91647,19033,4078,1269,367%,235%,173%,634,183%,118%,86%,414,120%,77%,56%,272,850%,504%,358%,136,425%,252%,179%,89,278%,165%,117%
"Lebanon, NH",939,105,333,636,56,80,320499,77792,192299,40971,9048,2731,820%,429%,291%,1366,410%,215%,145%,891,268%,140%,95%,603,1077%,754%,574%,302,539%,378%,288%,197,352%,246%,188%
"Lexington, KY",5045,579,2073,3559,172,375,1192842,231348,715705,149171,32101,9945,480%,279%,197%,4972,240%,140%,99%,3243,156%,91%,64%,2140,1244%,571%,370%,1070,622%,285%,185%,698,406%,186%,121%
"Lincoln, NE",2047,116,1016,1532,33,75,459005,93970,275403,57683,12486,3846,379%,251%,188%,1923,189%,126%,94%,1254,123%,82%,61%,832,2521%,1109%,717%,416,1261%,555%,359%,271,821%,361%,234%
"Little Rock, AR",4854,520,2174,3514,177,348,1212482,258840,727489,152977,33270,10198,469%,290%,210%,5099,235%,145%,105%,3326,153%,95%,69%,2218,1253%,637%,427%,1109,627%,319%,213%,723,408%,208%,139%
"Longview, TX",224,45,98,161,21,33,161316,33367,96790,20292,4398,1353,1381%,840%,604%,676,690%,420%,302%,441,450%,274%,197%,293,1395%,888%,651%,147,700%,445%,327%,96,457%,291%,213%
"Los Angeles, CA",19492,2415,6594,13043,942,1679,7874162,1268093,4724497,969936,204888,64662,981%,496%,332%,32331,490%,248%,166%,21086,320%,162%,108%,13659,1450%,814%,566%,6830,725%,407%,283%,4454,473%,265%,184%
"Louisville, KY",4162,506,1700,2931,165,335,1385741,271762,831445,173465,37373,11564,680%,395%,278%,5782,340%,197%,139%,3771,222%,129%,91%,2492,1510%,744%,492%,1246,755%,372%,246%,812,492%,242%,160%
"Lubbock, TX",1811,298,922,1367,85,191,546461,91980,327877,67539,14327,4503,488%,329%,249%,2251,244%,165%,124%,1468,159%,107%,81%,955,1124%,500%,320%,478,562%,250%,160%,311,366%,163%,104%
"Lynchburg, VA",1174,55,309,741,20,37,217344,49862,130406,27619,6058,1841,596%,248%,157%,921,298%,124%,78%,600,194%,81%,51%,404,2020%,1092%,735%,202,1010%,546%,367%,132,660%,357%,240%
"Macon, GA",2295,240,865,1580,57,149,568689,111226,341213,71170,15329,4745,549%,300%,207%,2372,274%,150%,103%,1547,179%,98%,67%,1022,1793%,686%,426%,511,896%,343%,213%,333,584%,223%,139%
"Madison, WI",2443,267,838,1640,121,194,886932,165619,532159,110550,23695,7370,879%,449%,302%,3685,440%,225%,151%,2403,287%,147%,98%,1580,1306%,814%,592%,790,653%,407%,296%,515,426%,265%,193%
"Manchester, NH",1603,137,582,1092,53,95,714679,143594,428807,89658,19368,5977,1027%,547%,373%,2989,514%,274%,186%,1949,335%,178%,122%,1291,2436%,1359%,942%,646,1219%,680%,472%,421,794%,443%,307%
"Manhattan, NY",14834,1427,3059,8946,616,1021,4173437,725342,2504062,517116,110035,34474,1127%,385%,232%,17237,563%,193%,116%,11242,368%,126%,76%,7336,1191%,719%,514%,3668,595%,359%,257%,2392,388%,234%,168%
"Marquette, MI",601,47,276,438,18,32,159278,39415,95567,20404,4517,1360,493%,311%,226%,680,246%,155%,113%,444,161%,101%,74%,301,1672%,941%,640%,151,839%,472%,321%,98,544%,306%,209%
"Marshfield, WI",706,68,281,494,34,51,295582,70770,177349,37730,8318,2515,895%,509%,356%,1258,448%,255%,178%,820,292%,166%,116%,555,1632%,1088%,816%,277,815%,543%,407%,181,532%,355%,266%
"Mason City, IA",470,18,239,354,6,12,100326,26837,60196,12967,2900,864,362%,244%,184%,432,181%,122%,92%,282,118%,80%,60%,193,3217%,1608%,1072%,97,1617%,808%,539%,63,1050%,525%,350%
"McAllen, TX",1938,350,849,1394,133,241,486579,74033,291947,59690,12544,3979,469%,285%,205%,1990,234%,143%,103%,1298,153%,93%,67%,836,629%,347%,239%,418,314%,173%,119%,273,205%,113%,78%
"Medford, OR",855,72,369,612,25,49,351154,95565,210692,45479,10193,3032,822%,495%,355%,1516,411%,248%,177%,989,268%,162%,116%,680,2720%,1388%,944%,340,1360%,694%,472%,222,888%,453%,308%
"Melrose Park, IL",2902,334,1122,2012,137,236,1031510,185204,618906,128149,27357,8543,761%,425%,294%,4272,381%,212%,147%,2786,248%,138%,96%,1824,1331%,773%,546%,912,666%,386%,273%,595,434%,252%,178%
"Memphis, TN",5054,543,2045,3549,139,341,1366198,246308,819719,169786,36261,11319,553%,319%,224%,5660,277%,159%,112%,3691,180%,104%,73%,2417,1739%,709%,445%,1209,870%,355%,223%,788,567%,231%,145%
"Meridian, MS",1117,57,445,781,19,38,148060,32340,88836,18722,4083,1248,280%,160%,112%,624,140%,80%,56%,407,91%,52%,36%,272,1432%,716%,477%,136,716%,358%,239%,89,468%,234%,156%
"Mesa, AZ",2091,291,648,1370,108,200,1135619,212738,681371,141587,30357,9439,1457%,689%,451%,4720,728%,345%,226%,3078,475%,225%,147%,2024,1874%,1012%,696%,1012,937%,506%,348%,660,611%,330%,227%
"Metairie, LA",857,111,406,631,44,78,366346,76217,219808,46108,9999,3074,757%,487%,359%,1537,379%,244%,179%,1002,247%,159%,117%,667,1516%,855%,601%,333,757%,427%,300%,217,493%,278%,195%
"Miami, FL",9139,981,2952,6045,280,630,2741481,526396,1644889,342533,73633,22836,774%,378%,250%,11418,387%,189%,125%,7446,252%,123%,81%,4909,1753%,779%,500%,2454,876%,390%,250%,1601,572%,254%,163%
"Milwaukee, WI",5263,818,2207,3735,323,570,2079205,380644,1247523,258726,55342,17248,782%,462%,328%,8624,391%,231%,164%,5624,255%,151%,107%,3689,1142%,647%,451%,1845,571%,324%,226%,1203,372%,211%,147%
"Minneapolis, MN",6954,612,2458,4706,238,425,2570355,478271,1542213,320282,68623,21352,869%,454%,307%,10676,434%,227%,154%,6963,283%,148%,100%,4575,1922%,1076%,748%,2287,961%,538%,374%,1492,627%,351%,244%
"Minot, ND",916,19,384,650,9,14,112434,19303,67460,13918,2958,928,242%,143%,101%,464,121%,71%,51%,303,79%,47%,33%,197,2189%,1407%,1037%,99,1100%,707%,521%,64,711%,457%,337%
"Missoula, MT",1002,79,455,729,39,59,315091,74302,189055,40156,8837,2677,588%,367%,267%,1339,294%,184%,134%,873,192%,120%,87%,589,1510%,998%,746%,295,756%,500%,373%,192,492%,325%,243%
"Mobile, AL",2066,282,695,1380,101,191,648957,135227,389374,81689,17718,5446,784%,395%,264%,2723,392%,197%,132%,1776,256%,129%,86%,1181,1169%,618%,419%,591,585%,309%,210%,385,381%,202%,137%
"Modesto, CA",1478,118,467,972,44,81,680976,119559,408586,84446,17987,5630,1206%,579%,381%,2815,603%,290%,190%,1836,393%,189%,124%,1199,2725%,1480%,1016%,600,1364%,741%,508%,391,889%,483%,331%
"Monroe, LA",1064,102,561,813,36,69,204787,41070,122872,25687,5548,1712,305%,211%,161%,856,153%,105%,80%,558,99%,69%,52%,370,1028%,536%,363%,185,514%,268%,181%,121,336%,175%,119%
"Montgomery, AL",1225,131,461,843,61,96,360863,68023,216518,45016,9658,3001,651%,356%,245%,1501,326%,178%,123%,979,212%,116%,80%,644,1056%,671%,492%,322,528%,335%,246%,210,344%,219%,160%
"Morgantown, WV",1555,155,499,1027,40,97,329288,68760,197573,41458,8994,2764,554%,269%,178%,1382,277%,135%,89%,901,181%,88%,58%,600,1500%,619%,387%,300,750%,309%,194%,196,490%,202%,126%
"Morristown, NJ",1862,147,589,1226,54,101,795142,157620,477085,99630,21490,6642,1128%,542%,357%,3321,564%,271%,178%,2166,368%,177%,116%,1433,2654%,1419%,975%,716,1326%,709%,487%,467,865%,462%,318%
"Muncie, IN",377,36,129,253,8,22,128803,27663,77282,16260,3539,1084,840%,428%,288%,542,420%,214%,144%,353,274%,140%,94%,236,2950%,1073%,656%,118,1475%,536%,328%,77,963%,350%,214%
"Munster, IN",1500,105,642,1071,42,74,239843,45234,143906,29920,6420,1995,311%,186%,133%,997,155%,93%,66%,650,101%,61%,43%,428,1019%,578%,408%,214,510%,289%,204%,140,333%,189%,133%
"Muskegon, MI",501,57,253,377,40,49,209507,45654,125704,26486,5774,1766,698%,468%,352%,883,349%,234%,176%,576,228%,153%,115%,385,963%,786%,675%,192,480%,392%,337%,126,315%,257%,221%
"Napa, CA",456,70,152,304,41,56,218503,53625,131102,27966,6185,1864,1226%,613%,409%,932,613%,307%,204%,608,400%,200%,133%,412,1005%,736%,589%,206,502%,368%,294%,134,327%,239%,191%
"Nashville, TN",7810,1118,2987,5398,317,717,2282662,410987,1369597,283650,60570,18910,633%,350%,242%,9455,317%,175%,121%,6166,206%,114%,79%,4038,1274%,563%,361%,2019,637%,282%,181%,1317,415%,184%,118%
"Neenah, WI",447,46,262,355,25,35,191863,39899,115118,24147,5236,1610,615%,454%,360%,805,307%,227%,180%,525,200%,148%,117%,349,1396%,997%,759%,175,700%,500%,380%,114,456%,326%,248%
"New Brunswick, NJ",2177,213,616,1397,126,170,845392,153380,507235,105117,22464,7008,1138%,502%,322%,3504,569%,251%,161%,2285,371%,164%,105%,1498,1189%,881%,703%,749,594%,441%,352%,488,387%,287%,229%
"New Haven, CT",2825,286,610,1717,118,202,1177072,244084,706243,148099,32104,9873,1619%,575%,349%,4937,809%,288%,175%,3220,528%,188%,114%,2140,1814%,1059%,748%,1070,907%,530%,374%,698,592%,346%,244%
"New Orleans, LA",2491,313,869,1680,77,195,554325,92037,332595,68439,14499,4563,525%,272%,183%,2281,262%,136%,92%,1488,171%,89%,60%,967,1256%,496%,309%,483,627%,248%,154%,315,409%,162%,101%
"Newark, NJ",3636,403,1033,2334,195,299,1233539,198090,740123,151914,32082,10128,980%,434%,279%,5064,490%,217%,139%,3302,320%,141%,91%,2139,1097%,715%,531%,1069,548%,358%,265%,697,357%,233%,173%
"Newport News, VA",905,145,251,578,45,95,447424,89385,268454,56101,12111,3740,1490%,647%,413%,1870,745%,324%,207%,1220,486%,211%,135%,807,1793%,849%,557%,404,898%,425%,279%,263,584%,277%,181%
"Norfolk, VA",2543,276,782,1663,82,179,1023500,174191,614100,126608,26885,8441,1079%,508%,332%,4220,540%,254%,166%,2752,352%,165%,108%,1792,2185%,1001%,649%,896,1093%,501%,325%,584,712%,326%,212%
"Ocala, FL",902,150,289,596,51,100,449792,185054,269875,61824,14753,4122,1426%,692%,457%,2061,713%,346%,228%,1344,465%,226%,149%,984,1929%,984%,656%,492,965%,492%,328%,321,629%,321%,214%
"Odessa, TX",1014,101,543,779,38,70,283753,43182,170252,34809,7315,2321,427%,298%,229%,1160,214%,149%,114%,757,139%,97%,75%,488,1284%,697%,483%,244,642%,349%,242%,159,418%,227%,157%
"Ogden, UT",750,110,371,561,42,76,356000,51907,213600,43543,9116,2903,782%,517%,387%,1451,391%,259%,193%,947,255%,169%,126%,608,1448%,800%,553%,304,724%,400%,276%,198,471%,261%,180%
"Oklahoma City, OK",5541,582,2447,3994,225,404,1491485,279037,894891,185934,39860,12396,507%,310%,224%,6198,253%,155%,112%,4042,165%,101%,73%,2657,1181%,658%,457%,1329,591%,329%,228%,867,385%,215%,149%
"Olympia, WA",558,84,173,365,25,54,320156,71021,192094,40546,8857,2703,1562%,741%,484%,1352,782%,370%,242%,881,509%,241%,158%,590,2360%,1093%,702%,295,1180%,546%,351%,193,772%,357%,230%
"Omaha, NE",4017,449,1742,2879,184,317,1010995,195073,606597,126373,27180,8425,484%,293%,210%,4212,242%,146%,105%,2747,158%,95%,68%,1812,985%,572%,404%,906,492%,286%,202%,591,321%,186%,132%
"Orange County, CA",5813,690,2236,4024,293,491,2662559,456181,1597535,329534,70022,21969,983%,546%,378%,10984,491%,273%,189%,7164,320%,178%,123%,4668,1593%,951%,677%,2334,797%,475%,338%,1522,519%,310%,221%
"Orlando, FL",10004,1284,3292,6648,448,866,3130935,714153,1878561,397633,87152,26509,805%,399%,265%,13254,403%,199%,132%,8644,263%,130%,86%,5810,1297%,671%,452%,2905,648%,335%,226%,1895,423%,219%,148%
"Ormond Beach, FL",872,158,359,616,63,110,338880,108815,203328,44835,10286,2989,833%,485%,343%,1494,416%,243%,171%,975,272%,158%,112%,686,1089%,624%,434%,343,544%,312%,217%,224,356%,204%,142%
"Owensboro, KY",390,36,175,282,14,25,112038,24900,67223,14192,3101,946,541%,335%,243%,473,270%,168%,121%,309,177%,110%,79%,207,1479%,828%,575%,103,736%,412%,286%,67,479%,268%,186%
"Oxford, MS",835,29,344,589,15,22,116854,21977,70112,14574,3126,972,283%,165%,116%,486,141%,83%,58%,317,92%,54%,38%,208,1387%,945%,717%,104,693%,473%,359%,68,453%,309%,234%
"Paducah, KY",1490,117,779,1134,57,87,290227,70421,174136,37100,8193,2473,317%,218%,166%,1237,159%,109%,83%,807,104%,71%,54%,546,958%,628%,467%,273,479%,314%,233%,178,312%,205%,152%
"Palm Springs/Rancho Mira, CA",974,69,404,689,23,46,305976,94312,183586,40257,9181,2684,664%,390%,276%,1342,332%,195%,138%,875,217%,127%,90%,612,2661%,1330%,887%,306,1330%,665%,443%,200,870%,435%,290%
"Paterson, NJ",1164,84,527,845,12,48,310775,60087,186465,38853,8358,2590,491%,307%,223%,1295,246%,153%,111%,845,160%,100%,73%,557,4642%,1160%,663%,279,2325%,581%,332%,182,1517%,379%,217%
"Pensacola, FL",2001,230,755,1378,91,160,636854,130505,382112,80040,17328,5336,707%,387%,267%,2668,353%,194%,133%,1740,230%,126%,87%,1155,1269%,722%,502%,578,635%,361%,251%,377,414%,236%,164%
"Peoria, IL",1725,156,643,1184,71,114,469070,106095,281442,59521,13033,3968,617%,335%,230%,1984,309%,168%,115%,1294,201%,109%,75%,869,1224%,762%,557%,434,611%,381%,278%,283,399%,248%,181%
"Petoskey, MI",476,68,178,327,22,45,142627,37819,85576,18415,4113,1228,690%,376%,258%,614,345%,188%,129%,400,225%,122%,84%,274,1245%,609%,403%,137,623%,304%,201%,89,405%,198%,131%
"Philadelphia, PA",10697,1257,3634,7165,546,902,3331376,632032,1998826,415803,89270,27720,763%,387%,259%,13860,381%,193%,130%,9039,249%,126%,85%,5951,1090%,660%,473%,2976,545%,330%,237%,1941,355%,215%,154%
"Phoenix, AZ",6977,957,2567,4772,416,687,2761090,532669,1656654,345126,74227,23008,896%,482%,330%,11504,448%,241%,165%,7503,292%,157%,108%,4948,1189%,720%,517%,2474,595%,360%,259%,1614,388%,235%,169%
"Pittsburgh, PA",8133,1079,2738,5436,420,749,2324172,541967,1394503,295848,65015,19723,720%,363%,243%,9862,360%,181%,121%,6431,235%,118%,79%,4334,1032%,579%,402%,2167,516%,289%,201%,1413,336%,189%,131%
"Pontiac, MI",911,95,321,616,49,72,376936,70983,226162,47017,10086,3134,976%,509%,344%,1567,488%,254%,172%,1022,318%,166%,112%,672,1371%,933%,707%,336,686%,467%,354%,219,447%,304%,231%
"Portland, ME",2524,209,710,1617,92,151,876231,194509,525739,110977,24246,7398,1042%,458%,293%,3699,521%,229%,147%,2413,340%,149%,96%,1616,1757%,1070%,773%,808,878%,535%,387%,527,573%,349%,252%
"Portland, OR",4684,661,1737,3211,278,469,2215589,412976,1329353,276117,59171,18408,1060%,573%,393%,9204,530%,287%,196%,6003,346%,187%,128%,3945,1419%,841%,597%,1972,709%,420%,298%,1286,463%,274%,195%
"Providence, RI",2249,293,690,1470,82,188,986702,192737,592021,123470,26590,8231,1193%,560%,366%,4116,597%,280%,183%,2684,389%,183%,119%,1773,2162%,943%,605%,886,1080%,471%,302%,578,705%,307%,197%
"Provo, UT",941,122,387,664,52,87,436975,52585,262185,52812,10889,3521,910%,530%,374%,1760,455%,265%,187%,1148,297%,173%,122%,726,1396%,834%,595%,363,698%,417%,298%,237,456%,272%,194%
"Pueblo, CO",615,28,238,426,7,17,138550,32449,83130,17644,3880,1176,494%,276%,191%,588,247%,138%,96%,384,161%,90%,62%,259,3700%,1524%,925%,129,1843%,759%,461%,84,1200%,494%,300%
"Raleigh, NC",3560,375,1124,2342,160,267,1670043,272076,1002026,205893,43540,13726,1221%,586%,386%,6863,611%,293%,193%,4476,398%,191%,126%,2903,1814%,1087%,774%,1451,907%,543%,387%,947,592%,355%,253%
"Rapid City, SD",878,46,343,610,20,33,173590,37388,104154,21920,4772,1461,426%,240%,166%,731,213%,120%,83%,477,139%,78%,54%,318,1590%,964%,691%,159,795%,482%,346%,104,520%,315%,226%
"Reading, PA",1329,99,559,944,50,75,466917,99775,280150,58916,12815,3928,703%,416%,296%,1964,351%,208%,148%,1281,229%,136%,96%,854,1708%,1139%,863%,427,854%,569%,431%,279,558%,372%,282%
"Redding, CA",786,109,284,535,58,83,276179,64591,165707,35166,7731,2344,825%,438%,298%,1172,413%,219%,149%,764,269%,143%,97%,515,888%,620%,472%,258,445%,311%,237%,168,290%,202%,154%
"Reno, NV",1886,406,660,1273,128,267,605953,127753,363572,76361,16584,5091,771%,400%,270%,2545,386%,200%,135%,1660,252%,130%,88%,1106,864%,414%,272%,553,432%,207%,136%,361,282%,135%,89%
"Richmond, VA",4478,465,1488,2983,144,305,1409076,264187,845446,175693,37673,11713,787%,393%,262%,5856,394%,196%,131%,3819,257%,128%,85%,2512,1744%,824%,540%,1256,872%,412%,270%,819,569%,269%,176%
"Ridgewood, NJ",814,83,275,544,35,59,338732,65551,203239,42352,9112,2823,1027%,519%,347%,1412,513%,260%,173%,921,335%,169%,113%,607,1734%,1029%,731%,304,869%,515%,366%,198,566%,336%,239%
"Roanoke, VA",2189,272,593,1391,113,192,569741,127897,341845,72241,15803,4816,812%,346%,220%,2408,406%,173%,110%,1570,265%,113%,72%,1054,933%,549%,388%,527,466%,274%,194%,344,304%,179%,126%
"Rochester, MN",1835,240,594,1215,90,165,320367,71522,192220,40599,8876,2707,456%,223%,148%,1353,228%,111%,74%,883,149%,73%,48%,592,658%,359%,247%,296,329%,179%,123%,193,214%,117%,80%
"Rochester, NY",3766,289,827,2297,87,188,1036499,211611,621899,130223,28180,8682,1050%,378%,231%,4341,525%,189%,115%,2831,342%,123%,75%,1879,2160%,999%,650%,939,1079%,499%,325%,613,705%,326%,212%
"Rockford, IL",1320,199,613,966,96,147,552131,118035,331279,69671,15155,4645,758%,481%,352%,2322,379%,240%,176%,1515,247%,157%,115%,1010,1052%,687%,508%,505,526%,344%,254%,329,343%,224%,165%
"Rome, GA",733,74,229,481,16,45,221920,45706,133152,27904,6044,1860,812%,387%,254%,930,406%,193%,127%,607,265%,126%,83%,403,2519%,896%,545%,201,1256%,447%,272%,131,819%,291%,177%
"Royal Oak, MI",2781,324,858,1819,97,211,556198,117512,333719,70105,15229,4674,545%,257%,168%,2337,272%,128%,84%,1524,178%,84%,55%,1015,1046%,481%,313%,508,524%,241%,157%,331,341%,157%,102%
"Sacramento, CA",4381,616,1315,2848,224,420,2076640,403030,1245984,259710,55892,17314,1317%,608%,395%,8657,658%,304%,198%,5646,429%,198%,129%,3726,1663%,887%,605%,1863,832%,444%,302%,1215,542%,289%,197%
